2026-01-27T13:46:28.6847215+09:00	ERR	VISION-CMD			Connect failed 127.0.0.1:3000 - 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다.
2026-01-27T04:46:28.7218934Z	TX	ROBOT			!992152B
2026-01-27T04:46:28.7299374Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:28.7321158Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:28.7325843Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:28.7515961Z	TX	ROBOT			!9924A013102F
2026-01-27T04:46:29.1304689Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:29.1312734Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:29.1316407Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:29.1319873Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:29.1322918Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:29.1326757Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:29.3264718Z	TX	ROBOT			!992152B
2026-01-27T04:46:29.4339963Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:29.4345120Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:29.4348860Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:29.4352460Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:29.4355863Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:29.4359098Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:29.7362705Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:29.7368189Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:29.7372603Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:29.7375586Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:29.7379067Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:29.7383489Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:29.9280870Z	TX	ROBOT			!992152B
2026-01-27T04:46:30.0387929Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:30.0392164Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:30.0395381Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:30.0398360Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:30.0401532Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:30.0405031Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:30.3412932Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:30.3416993Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:30.3419337Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:30.3421473Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:30.3423415Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:30.3425319Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:30.5322728Z	TX	ROBOT			!992152B
2026-01-27T04:46:30.6430154Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:30.6434760Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:30.6438082Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:30.6441540Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:30.6444642Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:30.6447802Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:30.9440475Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:30.9445485Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:30.9450407Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:30.9460006Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:30.9462883Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:30.9465745Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:31.1349402Z	TX	ROBOT			!992152B
2026-01-27T04:46:31.2451625Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:31.2456468Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:31.2459557Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:31.2471334Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:31.2475524Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:31.2478371Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:31.5467634Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:31.5472615Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:31.5476960Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:31.5493668Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:31.5498404Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:31.5503218Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:31.7369985Z	TX	ROBOT			!992152B
2026-01-27T04:46:31.8477528Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:31.8481644Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:31.8484922Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:31.8520799Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:31.8525559Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:31.8529028Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:32.1492242Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:32.1496507Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:32.1500567Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:32.1533229Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:32.1539067Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:32.1543374Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:32.3404623Z	TX	ROBOT			!992152B
2026-01-27T04:46:32.4515026Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:32.4519171Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:32.4521962Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:32.4554670Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:32.4558505Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:32.4561485Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:32.7532443Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:32.7546507Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:32.7556875Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:32.7573855Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:32.7585245Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:32.7602968Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:32.9419409Z	TX	ROBOT			!992152B
2026-01-27T04:46:33.0565586Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:33.0572742Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:33.0574968Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:33.0620291Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:33.0624072Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:33.0627489Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:33.3585981Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:33.3591079Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:33.3593686Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:33.3641801Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:33.3648326Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:33.3650366Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:33.5444859Z	TX	ROBOT			!992152B
2026-01-27T04:46:33.6614905Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:33.6628515Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:33.6639337Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:33.6656788Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:33.6668092Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:33.6678868Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:33.9655508Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:33.9661086Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:33.9665131Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:33.9694159Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:33.9696975Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:33.9699556Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:34.1454871Z	TX	ROBOT			!992152B
2026-01-27T04:46:34.2674813Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:34.2682962Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:34.2687106Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:34.2708429Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:34.2710999Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:34.2713234Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:34.5693491Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:34.5698259Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:34.5701323Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:34.5712550Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:34.5716899Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:34.5719885Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:34.7479110Z	TX	ROBOT			!992152B
2026-01-27T04:46:34.8715353Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:34.8720841Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:34.8723968Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:34.8735332Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:34.8738590Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:34.8741719Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:35.1742714Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:35.1747961Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:35.1752447Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:35.1755886Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:35.1762321Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:35.1767126Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:35.3516969Z	TX	ROBOT			!992152B
2026-01-27T04:46:35.4779946Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:35.4786852Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:35.4790482Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:35.4793318Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:35.4795027Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:35.4796883Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:35.7813960Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:35.7817933Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:35.7820815Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:35.7824113Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:35.7974926Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:35.7981069Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:35.9553827Z	TX	ROBOT			!992152B
2026-01-27T04:46:36.0977164Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:36.0982479Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:36.0986667Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:36.0990141Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:36.0993223Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:36.0996262Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:36.4015132Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:36.4020070Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:36.4022298Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:36.4024475Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:36.4026821Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:36.4030712Z	TX	ROBOT			!9920B00000001B8
2026-01-27T04:46:36.5577849Z	TX	ROBOT			!992152B
2026-01-27T04:46:36.7030055Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:36.7034891Z	TX	ROBOT			!9920B00000008BF
2026-01-27T04:46:36.7039729Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:36.7043487Z	TX	ROBOT			!9920B00000010B8
2026-01-27T04:46:36.7046699Z	TX	ROBOT			!9920B00000001B8
